a	0	2	0.5	0	0	4	0.75	3	0.666667	1	1357.96	
p	0	2	0.5	0	0	4	0.75	3	1	1	5072.05	
k	0	2	1	0	0	4	0.75	3	0.333333	0	-6012.55	
a	0	2	1	0	0	4	0.75	3	0.666667	0	-6619.06	
t	0	2	1	0	0	4	0.75	3	1	0	-7000.66	
n	0	4	0.25	0	1	4	1	2	0.5	1	3996.69	
a	0	4	0.25	0	1	4	1	2	1	1	3998.02	
p	0	4	0.5	0	1	4	1	3	0.333333	0	1668.83	
r	0	4	0.5	0	1	4	1	3	0.666667	0	-1191.11	
o	0	4	0.5	0	1	4	1	3	1	0	-793.541	
x	0	4	0.75	0	1	4	1	3	0.333333	0	-474.159	
á	0	4	0.75	0	1	4	1	3	0.666667	0	-1819.12	
s	0	4	0.75	0	1	4	1	3	1	0	625.968	
k	0	4	1	0	1	4	1	2	0.5	0	-5925.89	
u	0	4	1	0	1	4	1	2	1	0	-1536.55	
------------------------------------------
'	0	4	0.25	1	0	4	0.25	3	0.333333	1	-9513.45	
o	0	4	0.25	1	0	4	0.25	3	0.666667	1	-5294.48	
t	0	4	0.25	1	0	4	0.25	3	1	1	-1929.88	
p	0	4	0.5	1	0	4	0.25	2	0.5	0	3896	
o	0	4	0.5	1	0	4	0.25	2	1	0	8980.65	
l	0	4	0.75	1	0	4	0.25	2	0.5	0	-9784.04	
e	0	4	0.75	1	0	4	0.25	2	1	0	-8313.02	
d	0	4	1	1	0	4	0.25	3	0.333333	0	-8452.46	
n	0	4	1	1	0	4	0.25	3	0.666667	0	-8945.04	
e	0	4	1	1	0	4	0.25	3	1	0	-10530.9	
x	1	1	1	0	0	4	0.5	3	0.333333	1	-3983.74	
c	1	1	1	0	0	4	0.5	3	0.666667	1	-2675.7	
i	1	1	1	0	0	4	0.5	3	1	1	-5581.63	
»	0	2	0.5	0	0	4	0.75	3	0.333333	1	-3364.51	
a	0	2	0.5	0	0	4	0.75	3	0.666667	1	1357.96	
p	0	2	0.5	0	0	4	0.75	3	1	1	5072.05	
k	0	2	1	0	0	4	0.75	3	0.333333	0	-6012.55	
a	0	2	1	0	0	4	0.75	3	0.666667	0	-6619.06	
t	0	2	1	0	0	4	0.75	3	1	0	-7000.66	
n	0	4	0.25	0	1	4	1	2	0.5	1	3996.69	
a	0	4	0.25	0	1	4	1	2	1	1	3998.02	
p	0	4	0.5	0	1	4	1	3	0.333333	0	1668.83	
r	0	4	0.5	0	1	4	1	3	0.666667	0	-1191.11	
o	0	4	0.5	0	1	4	1	3	1	0	-793.541	
x	0	4	0.75	0	1	4	1	3	0.333333	0	-474.159	
á	0	4	0.75	0	1	4	1	3	0.666667	0	-1819.12	
s	0	4	0.75	0	1	4	1	3	1	0	625.968	
k	0	4	1	0	1	4	1	2	0.5	0	-5925.89	
u	0	4	1	0	1	4	1	2	1	0	-1536.55	
------------------------------------------
'	0	4	0.25	1	0	4	0.25	3	0.333333	1	-9513.45	
o	0	4	0.25	1	0	4	0.25	3	0.666667	1	-5294.48	
t	0	4	0.25	1	0	4	0.25	3	1	1	-1929.88	
p	0	4	0.5	1	0	4	0.25	2	0.5	0	3896	
o	0	4	0.5	1	0	4	0.25	2	1	0	8980.65	
l	0	4	0.75	1	0	4	0.25	2	0.5	0	-9784.04	
e	0	4	0.75	1	0	4	0.25	2	1	0	-8313.02	
d	0	4	1	1	0	4	0.25	3	0.333333	0	-8452.46	
n	0	4	1	1	0	4	0.25	3	0.666667	0	-8945.04	
e	0	4	1	1	0	4	0.25	3	1	0	-10530.9	
x	1	1	1	0	0	4	0.5	3	0.333333	1	-3983.74	
c	1	1	1	0	0	4	0.5	3	0.666667	1	-2675.7	
i	1	1	1	0	0	4	0.5	3	1	1	-5581.63	
»	0	2	0.5	0	0	4	0.75	3	0.333333	1	-3364.51	
a	0	2	0.5	0	0	4	0.75	3	0.666667	1	1357.96	
p	0	2	0.5	0	0	4	0.75	3	1	1	5072.05	
k	0	2	1	0	0	4	0.75	3	0.333333	0	-6012.55	
a	0	2	1	0	0	4	0.75	3	0.666667	0	-6619.06	
t	0	2	1	0	0	4	0.75	3	1	0	-7000.66	
n	0	4	0.25	0	1	4	1	2	0.5	1	3996.69	
a	0	4	0.25	0	1	4	1	2	1	1	3998.02	
p	0	4	0.5	0	1	4	1	3	0.333333	0	1668.83	
r	0	4	0.5	0	1	4	1	3	0.666667	0	-1191.11	
o	0	4	0.5	0	1	4	1	3	1	0	-793.541	
x	0	4	0.75	0	1	4	1	3	0.333333	0	-474.159	
á	0	4	0.75	0	1	4	1	3	0.666667	0	-1819.12	
s	0	4	0.75	0	1	4	1	3	1	0	625.968	
k	0	4	1	0	1	4	1	2	0.5	0	-5925.89	
u	0	4	1	0	1	4	1	2	1	0	-1536.55	
------------------------------------------
